timestamp;price;volume
"2012-08-27 17:00:00";10.99237785;54891.26
"2012-09-03 17:00:00";10.44719462;34885.32
"2012-09-10 17:00:00";11.13911578;65214.47
"2012-09-17 17:00:00";11.94777961;40924.86
"2012-09-24 17:00:00";12.26093285;21179.04
"2012-10-01 17:00:00";12.44183064;50956.87
"2012-10-08 17:00:00";11.89248142;46903.82
"2012-10-15 17:00:00";11.86789624;41250.23
"2012-10-22 17:00:00";11.72759691;54403.3
"2012-10-29 17:00:00";10.63109591;26051.73
"2012-11-05 16:00:00";10.77178712;26990.71
"2012-11-12 16:00:00";10.99609848;16674.09
"2012-11-19 16:00:00";11.81137081;27260.71
"2012-11-26 16:00:00";12.39032583;33252.57
"2012-12-03 16:00:00";12.6770481;63183.58
"2012-12-10 16:00:00";13.48827513;28034
"2012-12-17 16:00:00";13.37634561;23247.22
"2012-12-24 16:00:00";13.44967673;13206.95
"2012-12-31 16:00:00";13.55402337;28305.24
"2013-01-07 16:00:00";13.52709152;42802.24
"2013-01-14 16:00:00";14.31729599;51653.58
"2013-01-21 16:00:00";16.29381533;60934.22
"2013-01-28 16:00:00";18.55448493;86226.72
"2013-02-04 16:00:00";20.64699436;29060.19
"2013-02-11 16:00:00";24.54491244;74170.04
"2013-02-18 16:00:00";27.0188945;99782.98
"2013-02-25 16:00:00";30.37230069;42947.29
"2013-03-04 16:00:00";34.27958051;85765.94
"2013-03-11 17:00:00";47.80631348;183045.14
"2013-03-18 17:00:00";51.11806964;112206.01
"2013-03-25 17:00:00";73.19709763;56618.31
"2013-04-01 17:00:00";99.56835171;81672.99
"2013-04-08 17:00:00";182.57820022;105926.64
"2013-04-15 17:00:00";99.46441202;574486.28
"2013-04-22 17:00:00";123.51475653;116193.72
"2013-04-29 17:00:00";144;0
"2013-05-06 17:00:00";112.25;0
"2013-05-13 17:00:00";117.9800033569336;0
"2013-05-20 17:00:00";122.0199966430664;0
"2013-05-27 17:00:00";129.77000427246094;0
"2013-06-03 17:00:00";120.73699951171875;0
"2013-06-10 17:00:00";106.3499984741211;0
"2013-06-17 17:00:00";101.94999694824219;0
